GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0051607,defense response to virus,228,23,5.12,8,1.9e-9,1.9e-9,8.042395205348306e-5,"APOBEC3B,APOBEC3C,CXCL10,IFI16,IFI27,IFI44L,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IFNL1,IRF9,ISG15,MX1,MX2,OAS1,OAS2,OASL,RTP4,TRIM22,TRIM6,UNC93B1"
GO:0045071,negative regulation of viral genome replication,55,12,1.23,10,2.5e-9,2.5e-9,8.042395205348306e-5,"APOBEC3C,IFI16,IFIT1,IFITM1,IFITM3,ISG15,MX1,OAS1,OASL,SLPI,TNF,TRIM6"
GO:0060337,type I interferon signaling pathway,88,14,1.98,12,9.2e-9,9.2e-9,1.9730676237121177e-4,"IFI27,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IRF9,ISG15,MX1,MX2,OAS1,OAS2,OASL,TRIM6"
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,63,8,1.41,47,7.9e-5,7.9e-5,1,"CXCL10,CXCL11,CXCL2,CXCL3,DEFB1,KLK5,KLK7,S100A9"
GO:0030593,neutrophil chemotaxis,100,12,2.24,25,1.9e-4,2.4e-6,1,"CD74,CXCL10,CXCL11,CXCL2,CXCL3,EDN2,FCER1G,MDK,MPP1,NCKAP1L,S100A9,SAA1"
GO:1990000,amyloid fibril formation,16,4,0.36,62,3.7e-4,3.7e-4,1,"APOE,CD36,CRYAB,RIPK3"
GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,82,8,1.84,69,5e-4,5e-4,1,"CASP1,EGLN3,FAM162A,FAS,KHDC1,S100A9,TNF,TNFSF10"
GO:0002922,positive regulation of humoral immune response,18,4,0.4,73,6e-4,6e-4,1,"C3,KLK5,KLK7,TNF"
GO:0019221,cytokine-mediated signaling pathway,748,43,16.79,15,7.6e-4,1.5e-8,1,"ANXA2,CAMK2D,CARD16,CASP1,CD36,CD4,CD74,CXCL10,CXCL11,CXCL2,CXCL3,EDN2,FCER1G,GPR35,IFI27,IFI30,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IFNL1,IL12A,IL2RG,IL32,IRF9,ISG15,LCN2,MX1,MX2,NDN,OAS1,OAS2,OASL,PSMB9,SAA1,SOX2,SPHK1,TNF,TNFRSF13B,TNFRSF14,TRIM22,TRIM6"
GO:0035455,response to interferon-alpha,20,4,0.45,81,9.1e-4,9.1e-4,1,"IFIT2,IFITM1,IFITM3,MX2"
GO:0070268,cornification,112,9,2.51,82,9.5e-4,9.5e-4,1,"FLG,KLK5,KRT12,KRT16,KRT23,KRT5,KRT80,PI3,TGM1"
GO:2000117,negative regulation of cysteine-type endopeptidase activity,91,8,2.04,84,0.001,0.001,1,"CARD16,CARD18,CDKN2D,CRYAB,IFI16,IFI6,MAGEA3,RPS6KA1"
GO:0051302,regulation of cell division,162,11,3.64,86,0.0011,0.0011,1,"IGF2,KIF20A,KIF23,LBH,MDK,NAP1L2,PLK1,PLK2,PLK3,PTN,RACGAP1"
GO:0097242,amyloid-beta clearance,36,5,0.81,87,0.00118,0.00118,1,"APOE,C3,CD36,PICALM,TNF"
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,189,12,4.24,88,0.00119,0.00119,1,"AREG,CD36,CD4,CD74,EFNA1,HBEGF,IFNL1,IGF2,IL12A,TNF,TNFRSF14,UNC119"
GO:0060333,interferon-gamma-mediated signaling pathway,73,7,1.64,89,0.00124,0.00124,1,"CAMK2D,IFI30,IRF9,OAS1,OAS2,OASL,TRIM22"
GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,54,6,1.21,90,0.00128,0.00128,1,"DDIT3,NUPR1,PLEKHF1,RIPK3,RNF183,S100A9"
GO:0033280,response to vitamin D,37,5,0.83,91,0.00134,0.00134,1,"ALPL,CD4,CDKN2D,CXCL10,PTN"
GO:0050766,positive regulation of phagocytosis,69,9,1.55,38,0.00149,2.3e-5,1,"C2,C3,CD36,DOCK2,FCER1G,IL2RG,NCKAP1L,RAP1A,TNF"
GO:0051384,response to glucocorticoid,144,10,3.23,95,0.00154,0.00154,1,"ADM,ALPL,ANXA3,AREG,BCHE,FAM107A,MDK,SCGB1A1,SERPINF1,TNF"
GO:0002863,positive regulation of inflammatory response to antigenic stimulus,11,3,0.25,100,0.00162,0.00162,1,"C3,FCER1G,TNF"
GO:0043525,positive regulation of neuron apoptotic process,57,6,1.28,101,0.0017,0.0017,1,"CTSZ,DDIT3,MAP2K4,MYBL2,NUPR1,TNF"
GO:0071222,cellular response to lipopolysaccharide,201,12,4.51,109,0.002,0.002,1,"CARD16,CASP1,CD36,CMPK2,CXCL10,CXCL11,CXCL2,CXCL3,IL12A,LCN2,LDOC1,TNF"
GO:0050701,interleukin-1 secretion,59,6,1.32,110,0.00203,0.00203,1,"CARD16,CARD18,CASP1,CD36,S100A13,SAA1"
GO:0045087,innate immune response,796,43,17.87,17,0.00223,8.9e-8,1,"APOBEC3B,APOBEC3C,APOE,C2,C3,CAMK2D,CASP1,CFB,COLEC11,CORO1A,DEFB1,FCER1G,IFI16,IFI27,IFI30,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IFNL1,IL12A,IRF9,ISG15,KRT16,LCN2,MUC21,MUC4,MX1,MX2,OAS1,OAS2,OASL,PSMB9,S100A9,SAA1,SLPI,TNFRSF14,TRIM22,TRIM23,TRIM6,UBD,UNC93B1"
GO:0035456,response to interferon-beta,26,4,0.58,118,0.00253,0.00253,1,"IFI16,IFITM1,IFITM3,TRIM6"
GO:0002026,regulation of the force of heart contraction,26,4,0.58,119,0.00253,0.00253,1,"ADM,CAMK2D,EDN2,MYL4"
GO:0002690,positive regulation of leukocyte chemotaxis,83,7,1.86,120,0.00261,0.00261,1,"CD74,CXCL10,EDN2,IL12A,MDK,NCKAP1L,PTN"
GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,181,11,4.06,121,0.00265,0.00265,1,"CARD16,CASP1,CD36,CD4,CD74,PLK2,S100A13,TNF,TNFSF10,TRIM22,UBD"
GO:0010838,positive regulation of keratinocyte proliferation,13,3,0.29,126,0.00271,0.00271,1,"AREG,MDK,TGM1"
GO:1900272,negative regulation of long-term synaptic potentiation,13,3,0.29,127,0.00271,0.00271,1,"APOE,FAM107A,PTN"
GO:0060100,"positive regulation of phagocytosis, engulfment",13,3,0.29,128,0.00271,0.00271,1,"C3,CD36,NCKAP1L"
GO:0042742,defense response to bacterium,242,16,5.43,51,0.00278,1.2e-4,1,"ANXA3,CD36,CD4,DEFB1,FCER1G,IL12A,ISG15,KLK5,KLK7,LCN2,LYZL2,PRB3,S100A9,SLPI,TNF,TNFRSF14"
GO:0045745,positive regulation of G protein-coupled receptor signaling pathway,27,4,0.61,134,0.00291,0.00291,1,"ACPP,C3,KLK5,KLK6"
GO:0045785,positive regulation of cell adhesion,389,18,8.73,138,0.00314,0.00314,1,"ADA,ARPC2,CCL28,CD36,CD4,CD74,CORO1A,EGFLAM,FBLN2,IGF2,IL12A,MDK,NCKAP1L,PTN,SAA1,SOX2,TNF,TNFRSF14"
GO:0090022,regulation of neutrophil chemotaxis,28,4,0.63,142,0.00334,0.00334,1,"CD74,MDK,MPP1,NCKAP1L"
GO:0002523,leukocyte migration involved in inflammatory response,14,3,0.31,144,0.0034,0.0034,1,"MDK,PTN,S100A9"
GO:0046596,regulation of viral entry into host cell,29,4,0.65,153,0.00381,0.00381,1,"CD4,CD74,IFITM1,IFITM3"
GO:0002739,regulation of cytokine secretion involved in immune response,15,3,0.34,157,0.00418,0.00418,1,"TNF,TNFRSF14,TRIM6"
GO:1902004,positive regulation of amyloid-beta formation,15,3,0.34,158,0.00418,0.00418,1,"EFNA1,PICALM,TNF"
GO:0051238,sequestering of metal ion,15,3,0.34,159,0.00418,0.00418,1,"FTHL17,LCN2,S100A9"
GO:0002274,myeloid leukocyte activation,629,25,14.12,161,0.00426,0.00426,1,"ACPP,ANXA2,ANXA3,C3,CD33,CD36,CD74,CMTM6,CTSZ,CYSTM1,DHRS2,DOCK2,EDN2,FCER1G,FOLR3,LCN2,NCKAP1L,QPCT,RAP1A,S100A13,S100A9,SLPI,SPHK1,TNF,UBD"
GO:0001782,B cell homeostasis,30,4,0.67,162,0.00432,0.00432,1,"ADA,CD74,NCKAP1L,TNFRSF13B"
GO:0019731,antibacterial humoral response,31,4,0.7,168,0.00487,0.00487,1,"DEFB1,KLK5,KLK7,SLPI"
GO:0000302,response to reactive oxygen species,225,12,5.05,169,0.00499,0.00499,1,"ADA,APOE,AREG,CD36,CRYAB,LCN2,PLK3,RIPK3,SCGB1A1,SPHK1,TNF,UCP1"
GO:0051346,negative regulation of hydrolase activity,443,24,9.94,45,0.00529,6.7e-5,1,"ANGPTL4,ANXA8,C3,CARD16,CARD18,CDKN2D,CPEB2,CRYAB,CST6,GCHFR,IFI16,IFI6,IFIT1,MAGEA3,NCKAP1L,PDE6D,PI3,PICALM,PTN,RPS6KA1,SERPINF1,SLPI,TNF,WFDC2"
GO:0010955,negative regulation of protein processing,32,4,0.72,175,0.00547,0.00547,1,"CARD16,CARD18,CTSZ,MAGEA3"
GO:0002252,immune effector process,1120,58,25.14,7,0.00573,1.8e-9,1,"ACPP,ADA,ANXA2,ANXA3,APOBEC3B,APOBEC3C,ARPC2,C2,C3,CD33,CD36,CD74,CFB,CMTM6,COLEC11,CORO1A,CTSZ,CXCL10,CYSTM1,DOCK2,FCER1G,FOLR3,HFE,IFI16,IFI27,IFI44L,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IFNL1,IL12A,IRF9,ISG15,KLK5,KLK7,LCN2,MDK,MX1,MX2,NCKAP1L,OAS1,OAS2,OASL,QPCT,RAP1A,RGCC,RIPK3,RTP4,S100A13,S100A9,SLPI,TNF,TNFRSF14,TRIM22,TRIM6,UNC93B1"
GO:0006955,immune response,1855,86,41.64,1,0.00594,3e-11,1,"ACPP,ADA,ANXA2,ANXA3,APOBEC3B,APOBEC3C,APOE,ARPC2,C2,C3,CAMK2D,CASP1,CCL28,CD33,CD36,CD4,CD74,CFB,CMTM6,COLEC11,CORO1A,CTSZ,CXCL10,CXCL11,CXCL2,CXCL3,CYSTM1,DEFB1,DOCK2,ENDOU,FAS,FCER1G,FCGRT,FOLR3,HCST,HFE,IFI16,IFI27,IFI30,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IFNL1,IL12A,IL2RG,IL32,IRF9,ISG15,KLK5,KLK7,KRT16,LCN2,MAP2K4,MDK,MUC21,MUC4,MX1,MX2,NCKAP1L,OAS1,OAS2,OASL,PI3,PPP3R1,PSMB9,QPCT,RAP1A,RGCC,RIPK3,S100A13,S100A9,SAA1,SLPI,TNF,TNFRSF13B,TNFRSF14,TNFSF10,TRIM22,TRIM23,TRIM6,UBD,UNC93B1"
GO:0042129,regulation of T cell proliferation,147,9,3.3,183,0.00599,0.00599,1,"CD4,CORO1A,GPNMB,IGF2,IL12A,NCKAP1L,RIPK3,SCGB1A1,TNFRSF14"
GO:0051092,positive regulation of NF-kappaB transcription factor activity,147,9,3.3,184,0.00599,0.00599,1,"CARD16,CD36,RHEBL1,RIPK3,RNF25,S100A9,SPHK1,TNF,TRIM22"
GO:0002819,regulation of adaptive immune response,148,9,3.32,189,0.00626,0.00626,1,"ADA,C3,CD4,FCER1G,HFE,IL12A,RIPK3,TNF,TNFRSF14"
GO:0032611,interleukin-1 beta production,98,7,2.2,193,0.00654,0.00654,1,"CARD16,CARD18,CASP1,CD33,CD36,IFI16,SPHK1"
GO:0048016,inositol phosphate-mediated signaling,53,5,1.19,194,0.00658,0.00658,1,"CHP2,EDN2,FHL2,PPP3R1,TNF"
GO:1903038,negative regulation of leukocyte cell-cell adhesion,124,8,2.78,199,0.00689,0.00689,1,"CCL28,CD74,GPNMB,HFE,IFNL1,MDK,SCGB1A1,TNFRSF14"
GO:0032652,regulation of interleukin-1 production,99,7,2.22,201,0.00691,0.00691,1,"CARD16,CARD18,CASP1,CD33,IFI16,SAA1,SPHK1"
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,99,7,2.22,202,0.00691,0.00691,1,"CCNB3,CDKN2D,CDKN3,CKS1B,GADD45A,PLK1,RGCC"
GO:0032091,negative regulation of protein binding,99,7,2.22,203,0.00691,0.00691,1,"CARD16,CARD18,CTSZ,HFE,IFIT1,IFIT2,SLPI"
GO:0090307,mitotic spindle assembly,54,5,1.21,206,0.00713,0.00713,1,"KIF23,KIFC1,MYBL2,PLK1,RACGAP1"
GO:0072574,hepatocyte proliferation,18,3,0.4,207,0.00713,0.00713,1,"MDK,PTN,RPS6KA1"
GO:0061081,positive regulation of myeloid leukocyte cytokine production involved in immune response,18,3,0.4,208,0.00713,0.00713,1,"CD36,CD74,FCER1G"
GO:0070233,negative regulation of T cell apoptotic process,18,3,0.4,209,0.00713,0.00713,1,"ADA,EFNA1,TSC22D3"
GO:0032462,regulation of protein homooligomerization,18,3,0.4,210,0.00713,0.00713,1,"APOE,BIK,CRYAB"
