GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0051301,cell division,560,45,13.07,3,2e-11,4.1e-13,1.2867832328557289e-6,"AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CDC20,CDC25C,CDCA3,CDCA5,CDK1,CHEK2,CKS1B,DYRK3,HAUS8,IGF2,KIF20A,KIF23,KIFC1,KNSTRN,MAD2L1,NCAPG,NCAPG2,NDC80,NEDD9,NUSAP1,OIP5,PDGFB,PLK1,PRC1,RACGAP1,SFN,SPC24,SUSD2,TACC3,TOP2A,TPX2,TUBA1C,TUBB,ZWINT"
GO:0090307,mitotic spindle assembly,54,10,1.26,56,4.1e-7,4.1e-7,0.013189528136771222,"AURKB,BIRC5,CDC20,CHEK2,KIF23,KIFC1,MYBL2,PLK1,RACGAP1,TPX2"
GO:0030198,extracellular matrix organization,356,25,8.31,68,1.1e-6,1.1e-6,0.02359102593568837,"ADAMTS14,CCDC80,COL23A1,ELN,FN1,GPM6B,ITGA9,ITGB6,KDR,KLK5,KLK7,LAMA3,MFAP2,MFAP4,MMP19,MMP2,PDGFB,SPARC,SULF1,TGFBI,THBS1,TIMP1,TNC,TNFRSF11B,TTR"
GO:0007094,mitotic spindle assembly checkpoint,34,9,0.79,34,4.4e-6,5.9e-8,0.056618462245652076,"AURKB,BUB1,BUB1B,CCNB1,CDC20,MAD2L1,NDC80,PLK1,TTK"
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,99,15,2.31,25,4.4e-6,9.2e-9,0.056618462245652076,"CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CDC25C,CDKN1A,CDKN2D,CDKN3,CKS1B,PDGFB,PKMYT1,PLK1,SFN"
GO:0010224,response to UV-B,17,5,0.4,107,3.3e-5,3.3e-5,0.3033131906017076,"CDKN1A,CRIP1,HYAL1,HYAL3,MFAP4"
GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",54,8,1.26,109,3.3e-5,3.3e-5,0.3033131906017076,"AURKA,CCNB1,CDC25C,CDK1,CDKN1A,CHEK2,PCNA,SFN"
GO:0031100,animal organ regeneration,72,13,1.68,26,4.4e-5,1e-8,0.35386538903532544,"ADM,ANXA3,AURKA,CCNA2,CCND1,CDK1,CDKN1A,CLDN1,CXCL12,HMOX1,NNMT,PCNA,TYMS"
GO:0051231,spindle elongation,10,4,0.23,128,5.5e-5,5.5e-5,0.3731671375281614,"AURKB,KIF23,PRC1,RACGAP1"
GO:0097421,liver regeneration,30,6,0.7,130,5.8e-5,5.8e-5,0.3731671375281614,"AURKA,CCND1,CLDN1,HMOX1,PCNA,TYMS"
GO:0001666,response to hypoxia,347,21,8.1,132,7.1e-5,7.1e-5,0.41528004333071256,"ADM,ANGPTL4,AQP1,AQP3,BNIP3,CCNA2,CCNB1,CD24,CRYAB,CXCL12,CXCR4,DDIT4,HMOX1,LDHA,MALAT1,MMP2,PDLIM1,PLAT,PLAU,PSMD14,THBS1"
GO:0007052,mitotic spindle organization,101,17,2.36,12,8.7e-5,1.7e-10,0.4503741314995051,"AURKA,AURKB,BIRC5,CCNB1,CDC20,CHEK2,KIF23,KIFC1,MYBL2,NDC80,PLK1,POC1A,PRC1,RACGAP1,TACC3,TPX2,TTK"
GO:0034644,cellular response to UV,79,9,1.84,139,9.1e-5,9.1e-5,0.4503741314995051,"AQP1,AURKB,CDKN1A,CRIP1,HYAL1,HYAL3,MFAP4,PBK,PCNA"
GO:0031145,anaphase-promoting complex-dependent catabolic process,80,9,1.87,144,1e-4,1e-4,0.4595654403056176,"AURKA,AURKB,BUB1B,CCNB1,CDC20,CDK1,MAD2L1,PLK1,PSMD14"
GO:0007077,mitotic nuclear envelope disassembly,12,4,0.28,152,1.2e-4,1.2e-4,0.4920053537389552,"CCNB1,CCNB2,CDK1,PLK1"
GO:0043312,neutrophil degranulation,472,25,11.02,153,1.3e-4,1.3e-4,0.4920053537389552,"AGPAT2,ANPEP,ANXA3,CALML5,CD14,CD300A,CD58,CFD,CHI3L1,CNN2,COTL1,FRK,HSPA6,HVCN1,LGALS3,PADI2,PLAU,PLAUR,PSMD14,PTPN6,RNASET2,SLPI,SYNGR1,TTR,TUBB"
GO:0071294,cellular response to zinc ion,22,5,0.51,154,1.3e-4,1.3e-4,0.4920053537389552,"HVCN1,MT1E,MT1M,MT1X,MT2A"
GO:0000086,G2/M transition of mitotic cell cycle,242,19,5.65,79,1.5e-4,4.3e-6,0.5361596803565537,"AURKA,AURKB,CCNA2,CCNB1,CCNB2,CCND1,CDC25C,CDK1,CDKN1A,CHEK2,HAUS8,HMMR,MELK,PKMYT1,PLK1,PSMD14,TPX2,TUBA4A,TUBB"
GO:0002576,platelet degranulation,124,11,2.89,161,1.6e-4,1.6e-4,0.5418034664655701,"CFD,FERMT3,FN1,IGF2,PDGFB,RARRES2,SPARC,TAGLN2,THBS1,TIMP1,TUBA4A"
GO:1902969,mitotic DNA replication,14,4,0.33,188,2.4e-4,2.4e-4,0.7018817633758522,"CDC45,CHEK2,MCM3,RAD51"
GO:0010273,detoxification of copper ion,14,4,0.33,189,2.4e-4,2.4e-4,0.7018817633758522,"MT1E,MT1M,MT1X,MT2A"
GO:0071280,cellular response to copper ion,25,5,0.58,191,2.4e-4,2.4e-4,0.7018817633758522,"AQP1,MT1E,MT1M,MT1X,MT2A"
GO:0033273,response to vitamin,92,9,2.15,193,3e-4,3e-4,0.8166124362353664,"AQP3,CCND1,CDKN2D,FKBP1B,KYNU,PIM1,SPARC,TNC,TYMS"
GO:0030261,chromosome condensation,31,7,0.72,81,3.2e-4,5.8e-6,0.8166124362353664,"CCNB1,CDCA5,CDK1,NCAPG,NCAPG2,NUSAP1,TOP2A"
GO:0001936,regulation of endothelial cell proliferation,157,12,3.67,198,3.2e-4,3.2e-4,0.8166124362353664,"APOE,CXCL12,EGFL7,GJA1,HMOX1,KDR,MIR27B,MIR499A,PDGFB,SPARC,SULF1,THBS1"
GO:0034501,protein localization to kinetochore,15,4,0.35,200,3.3e-4,3.3e-4,0.8166124362353664,"AURKB,CDK1,NDC80,TTK"
GO:0046718,viral entry into host cell,117,10,2.73,212,4.2e-4,4.2e-4,1,"ANPEP,CDK1,CLDN1,CXCR4,EPHA2,HYAL1,HYAL3,IFITM2,IFITM3,ITGB6"
GO:0007229,integrin-mediated signaling pathway,97,9,2.26,219,4.4e-4,4.4e-4,1,"ADAMTS1,FERMT3,ITGA9,ITGB6,LAMA3,NEDD9,THY1,TIMP1,VAV3"
GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity,29,5,0.68,228,5.1e-4,5.1e-4,1,"CCNB1,CCND1,CCND3,CKS1B,PDGFB"
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,99,9,2.31,230,5.1e-4,5.1e-4,1,"CDKN1A,CDKN2D,CHEK2,CRIP1,CXCL12,DDIT4,EPHA2,HMOX1,SFN"
GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,83,8,1.94,254,7e-4,7e-4,1,"AQP1,BIRC5,CDKN2D,CRYAB,PLAUR,SFN,THBS1,WNT9A"
GO:0032526,response to retinoic acid,104,9,2.43,256,7.3e-4,7.3e-4,1,"AQP1,AQP3,CDKN2D,GJA1,GJB3,IGFBP7,PTGES,TNC,WNT9A"
GO:1900087,positive regulation of G1/S transition of mitotic cell cycle,47,6,1.1,259,7.4e-4,7.4e-4,1,"ADAMTS1,CCND1,CCND3,CDC45,HYAL1,LSM11"
GO:0018108,peptidyl-tyrosine phosphorylation,358,19,8.36,264,7.9e-4,7.9e-4,1,"CD24,CD300A,CLCF1,DYRK3,EFEMP1,EPHA2,EPHA7,ERRFI1,FRK,IGF2,KDR,LIF,MELK,NCAPG2,NEDD9,PDGFB,PTPN6,THY1,TTK"
GO:0032026,response to magnesium ion,19,4,0.44,269,8.6e-4,8.6e-4,1,"CCND1,CD14,THBS1,TNFRSF11B"
GO:0045785,positive regulation of cell adhesion,389,20,9.08,271,8.6e-4,8.6e-4,1,"CCDC80,CD24,CD276,CXCL12,FN1,HLX,HYAL1,IGF2,KDR,MIR27B,NEDD9,NFKBID,PDCD1LG2,PTPN6,RHOD,S100A10,TGM2,THY1,VAV3,VTCN1"
GO:1904707,positive regulation of vascular smooth muscle cell proliferation,49,6,1.14,280,0.00093000000000000005,0.00093000000000000005,1,"ADAMTS1,IGFBP5,MIR27B,MIR499A,MMP2,PDGFB"
GO:0008283,cell population proliferation,1912,88,44.64,14,9.7e-4,2.2e-10,1,"ADAMTS1,ADM,APOE,AQP1,AURKB,BIRC5,BUB1,CCNA2,CCNB1,CCND1,CCND3,CD24,CD276,CD300A,CDC20,CDC25C,CDK1,CDKN1A,CDKN2D,CDKN3,CLCF1,CRIP1,CXCL12,DDIT4,DLGAP5,EGFL7,ELN,EPHA2,ERRFI1,FAM98B,FKBP1B,FN1,FRK,GJA1,GPNMB,HLX,HMOX1,HYAL1,IGF2,IGFBP3,IGFBP5,IGFBP6,IGFBP7,IL11RA,KDR,KLK8,KRT6A,LGALS3,LIF,LRRC32,MALAT1,MELK,MIR27B,MIR499A,MMP2,NCAPG2,NMB,OSR2,PDCD1LG2,PDGFB,PIM1,PITX2,PLAU,PMP22,PRC1,PTGER2,PTGES,PTPN6,RAB25,RACGAP1,SERPINE2,SFN,SHCBP1,SPARC,SPRY2,SULF1,TACC3,TACSTD2,TGFB1I1,TGFBI,TGM2,THBS1,TIMP1,TNC,TTK,VAV3,VTCN1,WNT9A"
GO:0045840,positive regulation of mitotic nuclear division,50,6,1.17,284,0.00104,0.00104,1,"AURKA,CDCA5,DLGAP5,IGF2,NUSAP1,PDGFB"
GO:0048146,positive regulation of fibroblast proliferation,50,6,1.17,285,0.00104,0.00104,1,"AQP1,CCNA2,CCNB1,CDKN1A,FN1,PDGFB"
GO:0030155,regulation of cell adhesion,663,37,15.48,67,0.00106,8.9e-7,1,"CCDC80,CD24,CD276,CD300A,CXCL12,CXCR4,EPHA2,EPHA7,FERMT3,FN1,GPM6B,GPNMB,HLX,HYAL1,IGF2,IL1RN,KDR,LAMA3,LGALS3,LRRC32,MIR27B,NEDD9,NFKBID,PDCD1LG2,PLAU,PTPN6,RHOD,S100A10,SERPINE2,TACSTD2,TGFBI,TGM2,THBS1,THY1,TNC,VAV3,VTCN1"
GO:0070372,regulation of ERK1 and ERK2 cascade,286,16,6.68,288,0.00117,0.00117,1,"APOE,CCR1,CHI3L1,EPHA2,EPHA7,ERRFI1,FN1,GPNMB,KDR,LIF,MARCO,MIR27B,PDGFB,PTPN6,RRAS,SPRY2"
GO:0000070,mitotic sister chromatid segregation,144,20,3.36,11,0.00133,1.5e-10,1,"AURKB,BUB1,BUB1B,CCNB1,CDC20,CDCA5,DLGAP5,KIF23,KIFC1,KNSTRN,MAD2L1,NCAPG,NDC80,NUSAP1,PLK1,PRC1,RACGAP1,TACC3,TTK,ZWINT"
GO:0051255,spindle midzone assembly,10,3,0.23,300,0.00134,0.00134,1,"AURKB,KIF23,RACGAP1"
GO:0071276,cellular response to cadmium ion,36,5,0.84,303,0.0014,0.0014,1,"HMOX1,MT1E,MT1M,MT1X,MT2A"
GO:2000026,regulation of multicellular organismal development,2003,75,46.76,94,0.00144,2.1e-5,1,"ADM,ADRB2,AMIGO2,ANGPTL4,ANXA3,APOE,AQP1,AQP3,CCNB1,CCND1,CCR1,CD24,CDC20,CDK1,CHI3L1,CLCF1,CLSTN2,CXCL12,CXCR4,EFEMP1,EPHA2,EPHA7,ERRFI1,FKBP1B,FN1,FST,FUOM,GJA1,GPM6B,GPNMB,HLX,HMOX1,HYAL1,HYAL3,ID3,IL1RN,KDR,KLK6,KLK8,KRT17,LAMA3,LGALS3,LIF,LINGO2,LRRC4C,MIR27B,MIR499A,NCAPG2,NFE2,NFKBID,OSR2,PDGFB,PHLPP1,PIM1,PMP22,PRICKLE1,PSMD14,PTPN6,RACGAP1,RGS2,RRAS,SERPINE2,SFN,SPARC,SPRY2,SULF1,TACSTD2,TGFB1I1,THBS1,THY1,TIMP1,TNFRSF11B,TNFRSF12A,WNT9A,YWHAH"
GO:0009611,response to wounding,643,33,15.01,93,0.0015,2e-5,1,"ADM,APOE,AURKA,CCNB1,CCR1,CDK1,CDKN1A,CXCR4,DGKA,FERMT3,FKBP1B,FN1,GJA1,HMOX1,ID3,ITGA9,KLK6,KLK8,KRT6A,LGR6,NFE2,PDGFB,PLAT,PLAU,PLAUR,PTPN6,SERPINE2,SPARC,THBS1,TIMP1,TNC,TNFRSF12A,VAV3"
GO:0061436,establishment of skin barrier,22,4,0.51,307,0.00153,0.00153,1,"CLDN1,FLG,KRT16,SFN"
GO:0050856,regulation of T cell receptor signaling pathway,37,5,0.86,315,0.00159,0.00159,1,"CD300A,KCNN4,LGALS3,PTPN6,THY1"
GO:0045926,negative regulation of growth,241,14,5.63,317,0.00164,0.00164,1,"ADRB2,CDKN1A,CDKN2D,CRYAB,EPHA7,GJA1,HYAL1,IGFBP5,MT1E,MT1M,MT1X,MT2A,RGS2,SERPINE2"
GO:0030335,positive regulation of cell migration,511,28,11.93,101,0.00165,2.8e-5,1,"ADAMTS1,ANXA3,CCR1,CXCL12,CXCR4,FAM110C,FERMT3,FN1,GPNMB,HMOX1,HYAL1,IGFBP5,KDR,LGALS3,LGR6,MIR27B,MIR499A,NEDD9,PDGFB,PLAU,RAB25,RARRES2,RHOD,SPARC,SPRY2,THBS1,THY1,TMSB15B"
GO:1901890,positive regulation of cell junction assembly,95,8,2.22,323,0.0017,0.0017,1,"AMIGO2,CLDN1,CLSTN2,EPHA2,KDR,LINGO2,S100A10,THY1"
GO:0097755,positive regulation of blood vessel diameter,55,6,1.28,324,0.00172,0.00172,1,"ADM,ADRB2,APOE,GJA1,HMOX1,RGS2"
GO:0035404,histone-serine phosphorylation,11,3,0.26,328,0.00181,0.00181,1,"AURKA,AURKB,CCNB1"
GO:0031639,plasminogen activation,23,4,0.54,330,0.00182,0.00182,1,"PLAT,PLAU,SERPINE2,THBS1"
GO:2000242,negative regulation of reproductive process,56,6,1.31,332,0.00189,0.00189,1,"HYAL3,LIF,PAEP,SULF1,TIMP1,TTK"
