GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0030593,neutrophil chemotaxis,100,12,2.28,12,2.9e-6,2.9e-6,0.18658356876408072,"CCL17,CCL18,CCL26,CCL3,CXCL2,CXCL3,EDN1,FCER1G,IL1B,IL1RN,S100A8,SAA1"
GO:0007568,aging,305,20,6.96,28,2.5e-5,2.5e-5,0.5307980835529883,"ADA,ADM,AGT,AURKB,B2M,CAT,CLDN1,EDN1,FBXO5,GJB2,GLRX2,GSN,HRAS,ICAM1,ID2,ILK,NSMCE2,NUDT1,P2RY1,TPRA1"
GO:0032981,mitochondrial respiratory chain complex I assembly,55,8,1.25,30,3.2e-5,3.2e-5,0.5307980835529883,"ECSIT,NDUFA1,NDUFA11,NDUFB7,NDUFB9,NDUFS2,NDUFS3,TIMM21"
GO:0008209,androgen metabolic process,28,6,0.64,32,3.3e-5,3.3e-5,0.5307980835529883,"ADM,DHRS9,HSD17B11,HSD17B8,SPP1,SRD5A2"
GO:0000185,activation of MAPKKK activity,11,4,0.25,44,7.7e-5,7.7e-5,0.7961971253294823,"GADD45A,GADD45B,GADD45G,TNF"
GO:0031145,anaphase-promoting complex-dependent catabolic process,80,9,1.82,46,8.4e-5,8.4e-5,0.7961971253294823,"AURKB,CDC26,FBXO5,PSMC4,PSMC5,PSMC6,PTTG1,UBE2C,UBE2E1"
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",47,7,1.07,48,8.7e-5,8.7e-5,0.7961971253294823,"ISCU,NDUFA1,NDUFA11,NDUFB7,NDUFB9,NDUFS2,NDUFS3"
GO:0002548,monocyte chemotaxis,64,8,1.46,52,9.9e-5,9.9e-5,0.7961971253294823,"CALCA,CCL17,CCL18,CCL26,CCL3,CXCL17,IL6,S100A14"
GO:0045471,response to ethanol,123,11,2.81,56,1.2e-4,1.2e-4,0.857855488570486,"CAT,CCND1,CDO1,CLDN1,CLDN3,GGH,GSN,HTR3A,ICAM1,RGS2,S100A8"
GO:0043066,negative regulation of apoptotic process,870,37,19.84,63,2e-4,2e-4,1,"ADA,ASNS,AURKB,BAG3,BIRC5,CAT,CEACAM6,EDN1,FCER1G,HEY2,HIGD2A,HMGB2,HRAS,ICAM1,ID1,IGBP1,IL1B,IL6,ILK,LAMTOR5,MSX2,MTRNR2L10,MTRNR2L2,MTRNR2L8,NDUFS3,NFKBIA,PLAUR,PRAME,PSMG2,SLC25A5,SNAI1,TAF9,TNF,TNFSF10,TSC22D3,XBP1,ZNF16"
GO:0150078,positive regulation of neuroinflammatory response,15,4,0.34,70,3e-4,3e-4,1,"CCL3,IL1B,IL6,TNF"
GO:0051023,regulation of immunoglobulin secretion,17,4,0.39,79,5e-4,5e-4,1,"CD40,IL6,TNF,XBP1"
GO:0051301,cell division,560,26,12.77,80,5.1e-4,5.1e-4,1,"ANLN,AURKB,BIRC5,CAT,CCND1,CDC26,CENPW,CKS1B,CLTA,FAM83D,FBXO5,IL1B,KLHDC8B,LBH,MITD1,MPLKIP,NEDD9,NSMCE2,NUSAP1,PGF,PTTG1,TPRA1,TUBA1B,TXNIP,UBE2C,ZNF16"
GO:0002675,positive regulation of acute inflammatory response,30,5,0.68,84,5.4e-4,5.4e-4,1,"FCER1G,IL1B,IL6,TAC1,TNF"
GO:0070098,chemokine-mediated signaling pathway,83,8,1.89,88,6e-4,6e-4,1,"CCL17,CCL18,CCL26,CCL3,CXCL2,CXCL3,CXCR4,EDN1"
GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,83,8,1.89,89,6e-4,6e-4,1,"ATF3,BAG3,DDX47,HMGB2,ICAM1,PMAIP1,TNF,TNFSF10"
GO:0030335,positive regulation of cell migration,511,28,11.65,27,6.5e-4,1.8e-5,1,"AGT,BDKRB1,CCL26,CCL3,CD40,CEACAM6,CXCL17,CXCR4,EDN1,FBXO5,FGFBP1,FN1,GPNMB,HBEGF,HRAS,ICAM1,IL1B,IL6,ILK,MAP2K3,NEDD9,PGF,RARRES2,S100A14,SNAI1,TAC1,TNF,XBP1"
GO:0033617,mitochondrial cytochrome c oxidase assembly,19,4,0.43,99,7.9e-4,7.9e-4,1,"COX17,PET117,SCO2,TIMM21"
GO:0007589,body fluid secretion,87,8,1.98,103,8.3e-4,8.3e-4,1,"ADA,AGR2,CCND1,CDO1,EDN1,NME1,TAC1,XBP1"
GO:0048566,embryonic digestive tract development,33,5,0.75,106,8.4e-4,8.4e-4,1,"ADA,ID2,RARRES2,TCF21,TNF"
GO:0036499,PERK-mediated unfolded protein response,20,4,0.46,111,9.7e-4,9.7e-4,1,"AGR2,ASNS,ATF3,DDIT3"
GO:0033209,tumor necrosis factor-mediated signaling pathway,159,11,3.63,117,0.00107,0.00107,1,"CD40,EDA2R,ILK,NFKBIA,PSMC4,PSMC5,PSMC6,TNF,TNFRSF11B,TNFRSF13B,TNFSF9"
GO:0001666,response to hypoxia,347,18,7.91,118,0.00107,0.00107,1,"ADA,ADM,ANKRD1,AQP3,ATP1B1,CAT,CLDN3,CXCR4,EDN1,EGLN3,FUNDC1,ICAM1,MGARP,PGF,PMAIP1,PSMC4,PSMC5,PSMC6"
GO:0070830,bicellular tight junction assembly,52,6,1.19,124,0.00114,0.00114,1,"ARL2,CLDN1,CLDN3,RAB13,SNAI1,TNF"
GO:0071356,cellular response to tumor necrosis factor,276,20,6.29,18,0.00125,5.7e-6,1,"ANKRD1,CCL17,CCL18,CCL26,CCL3,CD40,CLDN1,EDA2R,EDN1,FABP4,ICAM1,ILK,NFKBIA,PSMC4,PSMC5,PSMC6,TNF,TNFRSF11B,TNFRSF13B,TNFSF9"
GO:0043392,negative regulation of DNA binding,53,6,1.21,130,0.00126,0.00126,1,"DDIT3,HEY2,ID1,ID2,MSX2,NFKBIA"
GO:0045667,regulation of osteoblast differentiation,116,9,2.65,136,0.00136,0.00136,1,"ATP6AP1,FBXO5,ID1,ID2,IL6,ILK,MIR675,MSX2,TNF"
GO:0071347,cellular response to interleukin-1,176,14,4.01,40,0.0016,5.3e-5,1,"ANKRD1,CCL17,CCL18,CCL26,CCL3,EDN1,ICAM1,IL1B,IL1RN,IL6,NFKBIA,PSMC4,PSMC5,PSMC6"
GO:0140353,lipid export from cell,38,5,0.87,149,0.00162,0.00162,1,"AGT,EDN1,IL1B,SPP1,TAC1"
GO:0010460,positive regulation of heart rate,23,4,0.52,150,0.00167,0.00167,1,"ADA,ADM,EDN1,HEY2"
GO:0032496,response to lipopolysaccharide,323,21,7.37,26,0.00168,1.8e-5,1,"ADM,ANKRD1,BDKRB1,CCL3,CLDN1,CXCL2,CXCL3,EDN1,GJB2,HMGB2,ICAM1,IL1B,IL1RN,IL6,MGST1,NFKBIA,S100A14,S100A8,TAC1,TNF,XBP1"
GO:0046886,positive regulation of hormone biosynthetic process,11,3,0.25,154,0.00169,0.00169,1,"ADM,IL1B,TNF"
GO:0045899,positive regulation of RNA polymerase II transcription preinitiation complex assembly,11,3,0.25,155,0.00169,0.00169,1,"PSMC4,PSMC5,PSMC6"
GO:0051384,response to glucocorticoid,144,10,3.28,157,0.00173,0.00173,1,"ADM,CCND1,CDO1,CLDN1,EDN1,GJB2,ICAM1,IL1RN,IL6,TNF"
GO:0042026,protein refolding,39,5,0.89,159,0.00183,0.00183,1,"B2M,HSPA6,HSPA7,PPIB,PPIH"
GO:0051291,protein heterooligomerization,99,8,2.26,163,0.00191,0.00191,1,"CHRNB3,CLDN1,CLDN3,HBA1,HBA2,HRAS,HSD17B8,ILK"
GO:0008284,positive regulation of cell population proliferation,908,39,20.71,55,0.00209,1.1e-4,1,"ADA,ADM,AGT,ATF3,AVPR2,BIRC5,CCL26,CCND1,CD40,CEACAM6,COX17,EDN1,FBXO5,FGFBP1,FN1,HBEGF,HEY2,HMGB2,HRAS,ID1,ID2,IL1B,IL6,ILK,LBH,MARCKSL1,NME1,NQO2,NR4A1,ODC1,PGF,PRAME,RPL23,SLC25A5,TAC1,TNF,TNFSF9,XBP1,ZNF16"
GO:0032370,positive regulation of lipid transport,59,6,1.35,168,0.0022,0.0022,1,"EDN1,IL1B,NFKBIA,PLTP,SPP1,TAC1"
GO:0042368,vitamin D biosynthetic process,12,3,0.27,170,0.00222,0.00222,1,"IL1B,SNAI1,TNF"
GO:0033197,response to vitamin E,12,3,0.27,171,0.00222,0.00222,1,"ADA,CAT,CCND1"
GO:0071222,cellular response to lipopolysaccharide,201,12,4.58,175,0.00228,0.00228,1,"ANKRD1,CCL3,CXCL2,CXCL3,HMGB2,ICAM1,IL1B,IL1RN,IL6,NFKBIA,TNF,XBP1"
GO:0033048,negative regulation of mitotic sister chromatid segregation,42,5,0.96,178,0.00255,0.00255,1,"AURKB,FBXO5,NAA10,PSMG2,PTTG1"
GO:0045429,positive regulation of nitric oxide biosynthetic process,42,5,0.96,179,0.00255,0.00255,1,"AGT,EDN1,ICAM1,IL1B,TNF"
GO:0014823,response to activity,61,6,1.39,183,0.00261,0.00261,1,"AGT,CAT,CXCR4,EDN1,MTFP1,UQCRC1"
GO:0043200,response to amino acid,105,8,2.39,194,0.00277,0.00277,1,"ASNS,CDO1,EDN1,ICAM1,LAMTOR4,LAMTOR5,TNF,XBP1"
GO:0030656,regulation of vitamin metabolic process,13,3,0.3,198,0.00284,0.00284,1,"IL1B,SNAI1,TNF"
GO:1901070,guanosine-containing compound biosynthetic process,13,3,0.3,199,0.00284,0.00284,1,"HPRT1,IMPDH2,NME1"
GO:0045779,negative regulation of bone resorption,13,3,0.3,200,0.00284,0.00284,1,"CALCA,IL6,TNFRSF11B"
GO:0002690,positive regulation of leukocyte chemotaxis,83,7,1.89,201,0.00285,0.00285,1,"CCL3,CXCL17,EDN1,IL6,PGF,RARRES2,S100A14"
