GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0046596,regulation of viral entry into host cell,29,5,0.37,3,2.9e-5,2.9e-5,1,"CD74,GSN,LGALS1,P4HB,TRIM21"
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",16,4,0.2,5,4.1e-5,4.1e-5,1,"COX5A,COX6A1,COX7A2L,COX8A"
GO:0042989,sequestering of actin monomers,10,3,0.13,12,2.3e-4,2.3e-4,1,"GSN,TMSB15B,TWF2"
GO:0006563,L-serine metabolic process,11,3,0.14,15,3.1e-4,3.1e-4,1,"PSAT1,SERINC3,SHMT2"
GO:0035751,regulation of lysosomal lumen pH,12,3,0.15,16,4.1e-4,4.1e-4,1,"GRN,PPT1,TMEM199"
GO:0070268,cornification,112,7,1.43,23,5.7e-4,5.7e-4,1,"CAPN1,KLK13,KRT14,KRT17,KRT23,KRT6A,KRT7"
GO:0051930,regulation of sensory perception of pain,34,4,0.43,28,8.8e-4,8.8e-4,1,"CCK,EDN1,FABP5,NMU"
GO:0051016,barbed-end actin filament capping,16,3,0.2,32,0.00101,0.00101,1,"CAPG,GSN,TWF2"
GO:0009070,serine family amino acid biosynthetic process,16,3,0.2,33,0.00101,0.00101,1,"PSAT1,SERINC3,SHMT2"
GO:0042908,xenobiotic transport,19,3,0.24,40,0.00169,0.00169,1,"CLDN1,EBP,SLC2A1"
GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,181,8,2.3,49,0.00225,0.00225,1,"BST2,CD74,LGALS1,PLK2,S100A13,S100A4,TFG,TMEM101"
GO:0070129,regulation of mitochondrial translation,21,3,0.27,51,0.00228,0.00228,1,"C1QBP,NGRN,SHMT2"
GO:0007035,vacuolar acidification,21,3,0.27,52,0.00228,0.00228,1,"GRN,PPT1,TMEM199"
GO:0006665,sphingolipid metabolic process,144,7,1.83,57,0.00247,0.00247,1,"ELOVL1,ELOVL3,GLA,PEMT,PPT1,SERINC3,SUMF1"
GO:0090023,positive regulation of neutrophil chemotaxis,22,3,0.28,59,0.00262,0.00262,1,"C1QBP,CD74,EDN1"
GO:0046677,response to antibiotic,319,11,4.06,60,0.00265,0.00265,1,"ALPL,ANKZF1,APEX1,BNIP3,CLDN1,EDN1,GPX1,GSN,ID3,PEMT,PYCR1"
GO:0043312,neutrophil degranulation,472,14,6.01,64,0.00295,0.00295,1,"BST2,CAPN1,DERA,FABP5,GLA,GRN,GSN,LGALS3,MVP,PGAM1,PLAU,PLAUR,PSMB1,PSMB7"
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,23,3,0.29,65,0.00298,0.00298,1,"PSMA3,PSMB1,PSMB7"
GO:0045109,intermediate filament organization,23,3,0.29,66,0.00298,0.00298,1,"KRT14,KRT17,VIM"
GO:0021782,glial cell development,112,6,1.43,68,0.00309,0.00309,1,"CD9,EIF2B1,GRN,GSN,ILK,VIM"
GO:0051101,regulation of DNA binding,119,6,1.51,85,0.00417,0.00417,1,"GTF2B,HEY1,ID3,NME1,PLAUR,SRI"
GO:0030195,negative regulation of blood coagulation,53,4,0.67,87,0.00458,0.00458,1,"CD9,EDN1,PLAU,PLAUR"
GO:0090200,positive regulation of release of cytochrome c from mitochondria,28,3,0.36,94,0.00526,0.00526,1,"BNIP3,PDCD5,PLAUR"
GO:0046949,fatty-acyl-CoA biosynthetic process,29,3,0.37,98,0.00582,0.00582,1,"ELOVL1,ELOVL3,PPT1"
GO:0071398,cellular response to fatty acid,57,4,0.73,102,0.00594,0.00594,1,"CLDN1,EDN1,ID3,NME1"
GO:0048709,oligodendrocyte differentiation,93,5,1.18,109,0.00669,0.00669,1,"BNIP3,CD9,EIF2B1,GSN,TMEM98"
GO:2000252,negative regulation of feeding behavior,10,2,0.13,113,0.00678,0.00678,1,"CCK,NMU"
GO:1903332,regulation of protein folding,10,2,0.13,114,0.00678,0.00678,1,"GRN,PDCD5"
GO:0006879,cellular iron ion homeostasis,60,4,0.76,117,0.00713,0.00713,1,"CP,HFE,SRI,TMEM199"
GO:1903902,positive regulation of viral life cycle,60,4,0.76,118,0.00713,0.00713,1,"CD74,LGALS1,P4HB,TRIM21"
GO:0002027,regulation of heart rate,95,5,1.21,122,0.00731,0.00731,1,"EDN1,KCNE2,KCNH2,NMU,SRI"
GO:0044403,symbiotic process,844,23,10.74,19,0.00738,4.8e-4,1,"BNIP3,BST2,BUB1,C1QBP,CD74,CLDN1,GPX1,GSN,GTF2B,ISG20,ITGB6,KRT6A,KRT7,LGALS1,P4HB,PSMA3,PSMB1,PSMB7,RPSA,SLC25A5,TRIM21,VIM,VPS28"
GO:0030162,regulation of proteolysis,693,17,8.82,124,0.00749,0.00749,1,"BST2,CCK,CST6,GPX1,GRN,GSN,HFE,KCNE2,PACSIN3,PDCD5,PLAUR,PLGRKT,PLK1,PLK2,PSMA3,TMEM98,TRIM21"
GO:0009060,aerobic respiration,79,8,1.01,2,0.00794,7.2e-6,1,"BNIP3,COX5A,COX6A1,COX7A2L,COX8A,MDH1,SDHD,SHMT2"
GO:0014820,tonic smooth muscle contraction,11,2,0.14,129,0.00822,0.00822,1,"EDN1,NMU"
GO:0014831,gastro-intestinal system smooth muscle contraction,11,2,0.14,130,0.00822,0.00822,1,"NMU,SULF1"
GO:0070254,mucus secretion,11,2,0.14,131,0.00822,0.00822,1,"P2RY2,SYTL2"
GO:0072697,protein localization to cell cortex,11,2,0.14,132,0.00822,0.00822,1,"GPSM2,PLK1"
GO:0042755,eating behavior,33,3,0.42,133,0.00837,0.00837,1,"CCK,GDF15,NMU"
GO:0031581,hemidesmosome assembly,12,2,0.15,140,0.00978,0.00978,1,"ITGB4,KRT14"
GO:0031392,regulation of prostaglandin biosynthetic process,12,2,0.15,141,0.00978,0.00978,1,"CD74,FABP5"
GO:0009163,nucleoside biosynthetic process,35,3,0.45,143,0.00985,0.00985,1,"GMPS,NME1,UCK1"
GO:0055114,oxidation-reduction process,948,27,12.06,7,0.01094,7.3e-5,1,"ALDH1A2,APEX1,BNIP3,COX5A,COX6A1,COX7A2L,COX8A,COX8C,CP,CYP2S1,DERA,ETFB,GPX1,HIGD2A,HSD17B6,MDH1,NDUFB9,NHLRC1,P4HB,PDIA6,PGAM1,PHLDA2,PYCR1,RDH13,SDHD,SHMT2,SUMF1"
GO:0050866,negative regulation of cell activation,190,7,2.42,145,0.01097,0.01097,1,"CD74,CD9,GPNMB,GRN,HFE,LGALS3,RHBDD3"
GO:0046036,CTP metabolic process,13,2,0.17,150,0.01146,0.01146,1,"NME1,UCK1"
GO:0042574,retinal metabolic process,13,2,0.17,151,0.01146,0.01146,1,"ALDH1A2,RDH13"
GO:0006098,pentose-phosphate shunt,13,2,0.17,152,0.01146,0.01146,1,"DERA,PGAM1"
GO:0006241,CTP biosynthetic process,13,2,0.17,153,0.01146,0.01146,1,"NME1,UCK1"
