GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0031145,anaphase-promoting complex-dependent catabolic process,80,12,1.97,3,5.6e-7,5.6e-7,0.029274318547467836,"ANAPC11,PLK1,PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2,PTTG1"
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,23,7,0.57,7,9.1e-7,9.1e-7,0.029274318547467836,"KEAP1,PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6"
GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,90,12,2.21,15,2e-6,2e-6,0.040211976026741536,"FHL1,MIIP,PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2,RBX1"
GO:0006521,regulation of cellular amino acid metabolic process,62,10,1.53,18,2.5e-6,2.5e-6,0.040211976026741536,"PARK7,PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2"
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",68,10,1.67,23,5.9e-6,5.9e-6,0.07592021073848801,"PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2,VAMP8"
GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",108,12,2.66,30,1.4e-5,1.4e-5,0.13786963209168526,"MKS1,PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2,RSPO3,WNT11"
GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia,75,10,1.85,31,1.5e-5,1.5e-5,0.13786963209168526,"PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2,RBX1"
GO:1902036,regulation of hematopoietic stem cell differentiation,71,9,1.75,41,5.9e-5,5.9e-5,0.47450131711555005,"PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2"
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,93,10,2.29,50,9.6e-5,9.6e-5,0.6862843908563888,"PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2,RBX1"
GO:1902600,proton transmembrane transport,134,12,3.3,53,1.2e-4,1.2e-4,0.7720699397134374,"ATP6V0B,ATP6V0E1,ATP6V1F,COX4I1,COX5A,COX8A,COX8C,CYC1,NDUFS7,PARK7,STOML2,UCP2"
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",47,7,1.16,62,1.4e-4,1.4e-4,0.8188620572718274,"NDUFA2,NDUFB2,NDUFB9,NDUFS7,NDUFV1,NDUFV2,PARK7"
GO:0070498,interleukin-1-mediated signaling pathway,100,10,2.46,66,1.8e-4,1.8e-4,0.9650874246417969,"PSMA1,PSMA3,PSMB1,PSMB3,PSMB5,PSMB6,PSMC6,PSMD10,PSME2,RBX1"
