GO.ID,Term,Annotated,Significant,Expected,Rank in p.value_classic,p.value_elim,p.value_classic,padj_BY_elim,genes
GO:0051301,cell division,560,33,14.15,12,6.1e-6,6.1e-6,0.2444888142425885,"ANXA11,BIRC5,BORA,BUB1,CAT,CCNA2,CCNB1,CCNB2,CDC20,CDCA3,CDCA5,CDCA8,CHMP6,CKS1B,FAM83D,GPSM2,HAUS4,KIF20A,KIF23,KIF2C,MAD2L1,NDC80,NUSAP1,PLK1,PRC1,PSRC1,PTTG1,SPC24,TACC3,TPX2,TXNIP,WNT7A,ZWINT"
GO:0055114,oxidation-reduction process,948,47,23.95,13,7.6e-6,7.6e-6,0.2444888142425885,"ALDH1A1,ALDH9A1,APOA1,BLOC1S1,BLVRA,BNIP3,CAT,CCNB1,CIAPIN1,CP,CYP26A1,DCXR,DEGS2,DERA,DHCR24,DHRS13,ECH1,ECI2,ENO2,FABP3,GMPR,GPX3,HSD17B14,IDH1,NDUFA2,NDUFA4L2,NDUFS7,P4HA2,P4HTM,PFKP,PGK1,PGM1,PHLDA2,PIR,PPP1R3G,PTGES2,PYCR1,SELENBP1,SH3BGRL3,STBD1,SUMF1,SUOX,TAZ,TM7SF2,TP53I3,TSTD1,VKORC1"
GO:0001666,response to hypoxia,347,23,8.77,32,2.7e-5,2.7e-5,0.579052454785078,"ADM,AGTRAP,AHCY,ANGPTL4,AQP3,BAD,BNIP3,CA9,CAT,CAV1,CCNA2,CCNB1,CLDN3,CXCR4,DDIT4,EGR1,FAM162A,PGK1,REG1A,SLC2A1,SLC2A8,UCP2,USF1"
GO:0006575,cellular modified amino acid metabolic process,179,15,4.52,41,5.1e-5,5.1e-5,0.8203243109455273,"AHCY,ALDH9A1,ASS1,CKB,CPQ,DPEP1,FOLR1,GSS,GSTA4,GSTM1,HPN,IDH1,PEMT,TYMS,VNN2"
GO:0043312,neutrophil degranulation,472,27,11.93,45,7.2e-5,7.2e-5,0.9264839276561249,"AGPAT2,ATP6AP2,CALML5,CAPN1,CAT,CHI3L1,CTSD,CTSH,DERA,DYNLL1,FUCA1,GSDMD,GSN,IDH1,LCN2,LGALS3,MVP,NPC2,OSTF1,PGM1,PTGES2,RAB24,RAB4B,RHOG,SERPINB6,SLPI,STBD1"
GO:0007080,mitotic metaphase plate congression,43,7,1.09,49,9.2e-5,9.2e-5,0.9865338118560589,"CCNB1,CDCA5,CDCA8,CHMP6,KIF2C,NDC80,PSRC1"
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,99,10,2.5,59,2e-4,2e-4,1,"CCNA2,CCNB1,CCNB2,CDKN3,CKS1B,DIRAS3,GTPBP4,PLK1,PSRC1,SERTAD1"
GO:0060236,regulation of mitotic spindle organization,37,6,0.93,65,3e-4,3e-4,1,"BORA,GPSM2,PLK1,PSRC1,TACC3,TPX2"
GO:0090266,regulation of mitotic cell cycle spindle assembly checkpoint,14,4,0.35,68,3.3e-4,3.3e-4,1,"CCNB1,DUSP1,MAD2L1,NDC80"
GO:0015949,nucleobase-containing small molecule interconversion,27,5,0.68,82,5.1e-4,5.1e-4,1,"DTYMK,GMPR,GUK1,NME3,TYMS"
GO:0000188,inactivation of MAPK activity,27,5,0.68,83,5.1e-4,5.1e-4,1,"CAV1,DUSP1,DUSP6,PPP2R1A,RGS3"
GO:0006091,generation of precursor metabolites and energy,480,25,12.13,87,5.4e-4,5.4e-4,1,"ALDH1A1,BLOC1S1,BNIP3,CAT,CCNB1,CIAPIN1,DDIT4,DERA,ENO2,HMGCL,IDH1,NDUFA2,NDUFA4L2,NDUFS7,P4HA2,PFKP,PGK1,PGM1,PHLDA2,PPP1R3G,PRKAG1,PTGES2,SH3BGRL3,STBD1,TAZ"
GO:0070293,renal absorption,16,4,0.4,91,5.7e-4,5.7e-4,1,"AQP3,GSN,MAGED2,SGK1"
GO:0007584,response to nutrient,215,17,5.43,36,6.9e-4,3.4e-5,1,"AHCY,APOA1,AQP3,ASS1,C2,CAT,CYP26A1,FOLR1,GSN,HMGCL,P2RY2,PEMT,PIM1,SRSF2,SST,TYMS,USF1"
GO:0032570,response to progesterone,43,6,1.09,94,6.9e-4,6.9e-4,1,"BAD,CAV1,FOS,PTGER2,TXNIP,TYMS"
GO:0007052,mitotic spindle organization,101,13,2.55,5,0.00105,1.5e-6,1,"BIRC5,BORA,CCNB1,CDC20,DCTN2,GPSM2,KIF23,NDC80,PLK1,PRC1,PSRC1,TACC3,TPX2"
GO:0006915,apoptotic process,1907,69,48.18,106,0.00131,0.00131,1,"ADM,ANGPTL4,APLP1,APOE,ATF4,BAD,BIRC5,BNIP3,BUB1,CALHM2,CAT,CAV1,CCK,CHI3L1,CIAPIN1,CLCF1,COMP,CRIP1,CTSD,CTSH,CXCR4,DDAH2,DDIT4,DHCR24,DPEP1,DUSP1,DUSP6,DYNLL1,EFNA1,EGR1,FAM162A,GSKIP,GSN,HDAC1,HMGB2,HPN,ID1,IER3,IFI27L1,IP6K2,LCN2,LGALS1,LGALS3,LGALS7B,MAD2L1,MUC1,NME3,PAEP,PHLDA2,PIM1,PLK1,PNMA1,PPP2R1A,RASSF7,SGK1,SLC40A1,SST,TGM2,TNFAIP8L2,TNFRSF18,TP53I3,TPD52L1,TPX2,TRIM32,TXNIP,VTCN1,WNT11,WNT7A,WNT9A"
GO:0070542,response to fatty acid,85,8,2.15,107,0.00137,0.00137,1,"ASS1,BAD,CAT,CCNB1,FABP3,HMGCL,P2RY6,PTGER2"
GO:0052548,regulation of endopeptidase activity,406,21,10.26,114,0.00161,0.00161,1,"BAD,BIRC5,CCK,CTSD,CTSH,DHCR24,DPEP1,EFNA1,FAM162A,GSN,HDAC1,LXN,PTTG1,SERPINA5,SERPINB6,SERPINE2,SERPING1,SLPI,TBC1D10A,WFDC2,WNT9A"
GO:0051593,response to folic acid,10,3,0.25,115,0.00168,0.00168,1,"FOLR1,GSN,TYMS"
GO:0071281,cellular response to iron ion,10,3,0.25,116,0.00168,0.00168,1,"CCNB1,HFE,SLC40A1"
GO:0051231,spindle elongation,10,3,0.25,117,0.00168,0.00168,1,"KIF23,PPP2R1A,PRC1"
GO:0006007,glucose catabolic process,35,5,0.88,118,0.00175,0.00175,1,"BAD,ENO2,PFKP,PGK1,TKTL1"
GO:0043627,response to estrogen,72,7,1.82,124,0.00224,0.00224,1,"APOA1,ARPC1B,CAV1,DTYMK,GBA,SLC34A2,WNT7A"
GO:0051289,protein homotetramerization,92,8,2.32,126,0.00227,0.00227,1,"ALDH9A1,CAT,CBY1,DCXR,GPX3,PFKP,REG1A,TK1"
GO:0031639,plasminogen activation,23,4,0.58,130,0.00243,0.00243,1,"DHCR24,HPN,PGK1,SERPINE2"
GO:0051186,cofactor metabolic process,426,21,10.76,138,0.00286,0.00286,1,"AHCY,BLVRA,CAT,CIAPIN1,COQ3,DPEP1,FOLR1,GCHFR,GPX3,GSS,GSTA4,GSTM1,HMGCL,IDH1,NMRK1,PEMT,PSAT1,PTS,SLC2A1,TYMS,VNN2"
GO:0008284,positive regulation of cell population proliferation,908,37,22.94,139,0.00288,0.00288,1,"ADM,AVPR2,BAD,BIRC5,CAPN1,CCK,CCNA2,CCNB1,CDC20,CLCF1,COMP,CRIP2,CTSH,DLX5,EAPP,EDN2,EGFL7,EGR1,FGFBP1,HDAC1,HMGB2,HPN,ID1,ID2,IL11RA,NMB,P2RY6,PIM1,PRC1,RAB25,REG1A,RHOG,SERTAD1,TGM1,TGM2,VTCN1,WNT7A"
GO:0007077,mitotic nuclear envelope disassembly,12,3,0.3,142,0.00297,0.00297,1,"CCNB1,CCNB2,PLK1"
GO:0009265,2'-deoxyribonucleotide biosynthetic process,12,3,0.3,143,0.00297,0.00297,1,"DTYMK,GUK1,TYMS"
GO:2000816,negative regulation of mitotic sister chromatid separation,39,8,0.99,9,0.00323,4.8e-6,1,"BUB1,CCNB1,CDC20,DUSP1,MAD2L1,NDC80,PLK1,PTTG1"
GO:0120161,regulation of cold-induced thermogenesis,142,10,3.59,146,0.00328,0.00328,1,"ALDH1A1,ATF4,BSCL2,CAV1,CXCR4,ID1,LCN2,MFAP2,PEMT,UCP2"
GO:0009888,tissue development,1909,67,48.23,148,0.00329,0.00329,1,"ADM,AGPAT2,AQP3,ATF4,ATP6AP2,BAD,CA9,CALB1,CALML5,CAPN1,CAT,CAV1,CBY1,CCNB1,CHI3L1,CLDN3,COMP,CPQ,CRABP2,CRIP1,CTSH,CXCR4,DHCR24,DLX5,EFNA1,EGR1,FAM83D,FOLR1,FOS,GJA5,GPNMB,GSN,HDAC1,HPN,ID1,ID2,ITGB4,KEAP1,KLHL12,KLK13,KLK5,KRT14,LGALS3,PEF1,PGK1,PHLDA2,PIM1,PRSS8,RAB25,RIPK4,RSPO3,S100A4,SERPINE2,SLC40A1,SOSTDC1,STRA6,TAZ,TGM1,TGM2,TMEM100,TST,TUBB3,TXNIP,TYMS,WNT11,WNT7A,WNT9A"
GO:0030325,adrenal gland development,25,4,0.63,150,0.00334,0.00334,1,"APOA1,FSTL3,STRA6,WNT11"
GO:0017144,drug metabolic process,549,25,13.87,153,0.00343,0.00343,1,"ADM,AHCY,ALDH1A1,ASS1,CAT,CAV1,CKB,CTSH,DDAH2,DPEP1,EGR1,FOLR1,GCHFR,GPX3,HMGCL,OAT,PEMT,PSAT1,PTS,PYCR1,SLC25A19,TAZ,TKTL1,TYMS,VKORC1"
GO:0051592,response to calcium ion,143,10,3.61,156,0.00345,0.00345,1,"ANXA11,AQP3,BAD,CAV1,DPEP1,DUSP1,FOS,PEF1,SYT8,TXNIP"
GO:0000086,G2/M transition of mitotic cell cycle,242,14,6.11,157,0.0035,0.0035,1,"BORA,CCNA2,CCNB1,CCNB2,DCTN2,DYNLL1,HAUS4,HSPA2,MIIP,PLK1,PPP2R1A,SSNA1,TPD52L1,TPX2"
